date,price,open,high,low
10/27/2013,211.7,188.6,216.5,188.9
11/03/2013,367.8,211.7,395,212.1
11/10/2013,462,367.8,476.9,290
11/17/2013,832.5,462,900.9,453.3
11/24/2013,1205.7,832.5,1241.9,745.2
12/01/2013,697,1205.7,1239.9,576
12/08/2013,908.9,697,1067.7,653
12/15/2013,640.5,908.9,927.9,454.9
12/22/2013,762,640.5,836.8,615
12/29/2013,924.7,762,932.2,735
01/05/2014,1005.3,924.7,1093.4,858.9
01/12/2014,905.7,1005.3,1022.7,867.2
01/19/2014,961,905.7,980.5,901.9
01/26/2014,940.4,961,1038.1,909.5
02/02/2014,648.8,940.4,959.6,632.1
02/09/2014,371.1,648.8,700,302.2
02/16/2014,255.6,371.1,540,91.7
02/23/2014,557.4,255.6,650,102.3
03/02/2014,609.2,557.4,695.4,541.5
03/09/2014,624,609.2,640.8,594.7
03/16/2014,564.3,624,627.3,537.2
03/23/2014,477.1,564.3,575.4,453.8
03/30/2014,456.6,477.1,487.4,386.7
04/06/2014,437.6,456.6,485.1,355.7
04/13/2014,506,437.6,549,409.9
04/20/2014,457.9,506,524.7,438.3
04/27/2014,438.6,457.9,464.5,420.8
05/04/2014,451.9,438.6,459.5,420.2
05/11/2014,452.8,451.9,455.9,429
05/18/2014,520.5,452.8,540.9,437.3
05/25/2014,627.9,520.5,629,520.5
06/01/2014,651.7,627.9,676.5,602.1
06/08/2014,583.4,651.7,663,563.7
06/15/2014,597,583.4,614.4,560.8
06/22/2014,597.6,597,610.1,565.8
06/29/2014,623,597.6,652.5,593.2
07/06/2014,635.9,623,638.6,607.3
07/13/2014,627,635.9,638.6,610
07/20/2014,596,627,628.8,593.3
07/27/2014,591.7,596,604,564
08/03/2014,589.5,591.7,608.2,580.6
08/10/2014,522,589.5,596.6,483.2
08/17/2014,497.7,522,537.2,450
08/24/2014,506,497.7,527.4,496.8
08/31/2014,484.5,506,508.3,470.5
09/07/2014,478.2,484.5,491,467.5
09/14/2014,411.5,478.2,480.3,386.1
09/21/2014,399,411.5,445.5,394.5
09/28/2014,335.3,399,402.3,327.1
10/05/2014,361.2,335.3,384.6,294.9
10/12/2014,390.9,361.2,407.7,352.3
10/19/2014,346.7,390.9,394.5,341.5
10/26/2014,325.4,346.7,356.8,320.7
11/02/2014,343.5,325.4,351.6,319.8
11/09/2014,374.9,343.5,480.5,341.8
11/16/2014,352,374.9,412.3,343.8
11/23/2014,376.3,352,395.7,352.6
11/30/2014,376.3,376.3,384.9,366.2
12/07/2014,348.2,376.3,377.9,337.8
12/14/2014,330.4,348.2,351.6,303.4
12/21/2014,315.3,330.4,339.3,312
12/28/2014,287.1,315.3,322.8,284.9
01/04/2015,273.4,287.1,296.1,255.9
01/11/2015,199.6,273.4,278,157.3
01/18/2015,248.2,199.6,248.9,192.5
01/25/2015,218.5,248.2,310.9,216.5
02/01/2015,227.7,218.5,247.5,209.7
02/08/2015,258.6,227.7,261.3,214.4
02/15/2015,244.4,258.6,264.6,226.6
02/22/2015,254.1,244.4,258.7,231.3
03/01/2015,274.9,254.1,287.1,244.8
03/08/2015,281.6,274.9,301,271.3
03/15/2015,259.7,281.6,294,247
03/22/2015,252,259.7,271,234.8
03/29/2015,252.9,252,256.5,236.6
04/05/2015,236.5,252.9,261.5,231.3
04/12/2015,223.4,236.5,237.5,214.3
04/19/2015,226.1,223.4,238.4,221.6
04/26/2015,235.3,226.1,242.6,214.1
05/03/2015,241.4,235.3,247.9,228.2
05/10/2015,236.2,241.4,244.8,232.4
05/17/2015,238.9,236.2,242,231.3
05/24/2015,233.2,238.9,242.4,231.6
05/31/2015,224.7,233.2,234,221
06/07/2015,232.5,224.7,233.1,222.2
06/14/2015,245,232.5,258.5,232.1
06/21/2015,250.7,245,251.6,239.1
06/28/2015,260.5,250.7,268.7,246.6
07/05/2015,292,260.5,298.8,257.6
07/12/2015,274,292,315.9,243.2
07/19/2015,288.7,274,291.2,271.8
07/26/2015,280.5,288.7,296.7,276.3
08/02/2015,258.6,280.5,285.7,257.4
08/09/2015,260.5,258.6,271.5,258.6
08/16/2015,229.5,260.5,261.9,214.3
08/23/2015,228.5,229.5,234.8,196.3
08/30/2015,233.7,228.5,235.6,224.2
09/06/2015,235.6,233.7,246.4,233.3
09/13/2015,231.1,235.6,242.8,225.1
09/20/2015,234.3,231.1,237.6,224.1
09/27/2015,238.6,234.3,240.4,231.8
10/04/2015,245.4,238.6,277.6,236.4
10/11/2015,269.6,245.4,275.4,243.1
10/18/2015,282.6,269.6,283,259.5
10/25/2015,311.2,282.6,334.9,279.6
11/01/2015,385.1,311.2,492.8,304.7
11/08/2015,331.8,385.1,389.8,292.4
11/15/2015,324.7,331.8,342.9,309.5
11/22/2015,355.8,324.7,368.9,315.5
11/29/2015,386.7,355.8,390.3,347.2
12/06/2015,432.3,386.7,467.7,381.7
12/13/2015,461.2,432.3,466.1,420.8
12/20/2015,415.4,461.2,462.8,400.5
12/27/2015,433.7,415.4,438,406.1
01/03/2016,448.3,433.7,462.9,423.1
01/10/2016,385,448.3,451.1,350.4
01/17/2016,388.6,385,425.7,373.2
01/24/2016,377.8,388.6,405.4,363.5
01/31/2016,376.7,377.8,391.8,365.3
02/07/2016,390.1,376.7,392.6,371.4
02/14/2016,440.1,390.1,442.7,390.1
02/21/2016,431.3,440.1,447.6,410.4
02/28/2016,399,431.3,441.3,386.9
03/06/2016,410.4,399,422.4,393.1
03/13/2016,408.7,410.4,419.6,402.1
03/20/2016,416.5,408.7,419.6,407.2
03/27/2016,418.5,416.5,427.4,406.4
04/03/2016,418,418.5,423.7,412.4
04/10/2016,430,418,432,416.7
04/17/2016,450.1,430,451.5,423.8
04/24/2016,448.5,450.1,468.9,433.9
05/01/2016,458.5,448.5,461.5,440.2
05/08/2016,456.4,458.5,464.2,446.8
05/15/2016,443.6,456.4,460.3,435.4
05/22/2016,524.2,443.6,531.8,436.9
05/29/2016,572,524.2,592.7,493.2
06/05/2016,591.6,572,592.6,543.6
06/12/2016,753.8,591.6,776,592.8
06/19/2016,663.5,753.8,765.1,539.3
06/26/2016,698.1,663.5,700.5,609.9
07/03/2016,651.8,698.1,701.5,605
07/10/2016,660.7,651.8,673.2,636.8
07/17/2016,655.2,660.7,680.9,645.7
07/24/2016,654.7,655.2,664.2,643.5
07/31/2016,586.5,654.7,654.9,471.4
08/07/2016,584.6,586.5,600.5,580.9
08/14/2016,582.6,584.6,585.8,559.3
08/21/2016,570.3,582.6,591.9,567.3
08/28/2016,598.8,570.3,705,569.2
09/04/2016,624.5,598.8,629.3,590.8
09/11/2016,607.1,624.5,630.8,592.8
09/18/2016,602.6,607.1,612.4,591.7
09/25/2016,613.4,602.6,615,598.2
10/02/2016,617.7,613.4,619.6,606.5
10/09/2016,637,617.7,642.5,612.8
10/16/2016,655.5,637,659.9,624.1
10/23/2016,715,655.5,720.2,645.7
10/30/2016,702.1,715,744.4,670.4
11/06/2016,704.3,702.1,741.2,697.6
11/13/2016,747.9,704.3,755.3,685
11/20/2016,734.1,747.9,754,712.8
11/27/2016,764.2,734.1,779,727.1
12/04/2016,774,764.2,777,746
12/11/2016,787.2,774,791.6,763
12/18/2016,891.1,787.2,920.5,783.8
12/25/2016,963.4,891.1,982.6,851.4
01/01/2017,888.9,963.4,1150.6,806.7
01/08/2017,819.6,888.9,936.1,739.5
01/15/2017,919.8,819.6,928.9,808.6
01/22/2017,918.5,919.8,938.4,883.6
01/29/2017,1031.8,918.5,1041,911.5
02/05/2017,1008.3,1031.8,1073,924.7
02/12/2017,1052.3,1008.3,1063.2,975.1
02/19/2017,1149.1,1052.3,1211.7,1037.7
02/26/2017,1264.3,1149.1,1291.3,1130.6
03/05/2017,1179.2,1264.3,1330.4,988.7
03/12/2017,971.4,1179.2,1260.2,940.2
03/19/2017,966.3,971.4,1125.5,890.4
03/26/2017,1086.1,966.3,1103.7,946.7
04/02/2017,1180.8,1086.1,1201.6,1074.2
04/09/2017,1177,1180.8,1229.6,841.5
04/16/2017,1240.9,1177,1257,1166.7
04/23/2017,1336.3,1240.9,1356.2,1223.1
04/30/2017,1545.3,1336.3,1609.8,1309.7
05/07/2017,1763.7,1545.3,1864.8,1495.2
05/14/2017,2040.2,1763.7,2048.4,1653.7
05/21/2017,2052.4,2040.2,2781.8,1868.6
05/28/2017,2545.4,2052.4,2582.8,2051.1
06/04/2017,2900.3,2545.4,2931.2,2478.2
06/11/2017,2655.1,2900.3,2985.1,2125.6
06/18/2017,2590.1,2655.1,2804.4,2488.6
06/25/2017,2424.6,2590.1,2660.7,2309.6
07/02/2017,2564.9,2424.6,2658.7,2375.9
07/09/2017,1975.1,2564.9,2576.7,1974
07/16/2017,2836.5,1975.1,2932.8,1809
07/23/2017,2733.5,2836.5,2856.7,2441.5
07/30/2017,3262.8,2733.5,3344,2621.7
08/06/2017,3871.6,3262.8,3967.3,3166.5
08/13/2017,4150.5,3871.6,4487.5,3837.1
08/20/2017,4352.3,4150.5,4461.7,3612.2
08/27/2017,4573.8,4352.3,4976.5,4195.2
09/03/2017,4335.1,4573.8,4719.8,4004.6
09/10/2017,3698.9,4335.1,4387.8,2979.9
09/17/2017,3788,3698.9,4122.8,3485.8
09/24/2017,4360.6,3788,4383.3,3633.9
10/01/2017,4435.8,4360.6,4477.4,4143.4
10/08/2017,5824.7,4435.8,5852.8,4419.4
10/15/2017,6006.6,5824.7,6187.2,5114.9
10/22/2017,5726.6,6006.6,6070.6,5375.6
10/29/2017,7363.8,5726.6,7492.2,5679.4
11/05/2017,6339.9,7363.8,7869.1,6197.9
11/12/2017,7780.9,6339.9,8000.2,5493.6
11/19/2017,8754.7,7781,8762,7675.4
11/26/2017,10912.7,8754.6,11417.8,8746.6
12/03/2017,14843.4,10912.7,17294.8,10578.4
12/10/2017,19345.5,14840,19587.7,13031
12/17/2017,14396.5,19346.6,19870.6,10875.7
12/24/2017,12531.5,14396.6,16514.6,11962.1
12/31/2017,17172.3,12532.4,17252.8,12359.4
01/07/2018,14292.2,17174.5,17184.8,13048.3
01/14/2018,12858.9,14291.9,14446.1,12858.9
01/21/2018,11467.5,12857.1,12860.2,10056.6
01/28/2018,9241.1,11471.2,12112.7,7915.8
02/04/2018,8559.6,9241.5,9382.1,8559.6
02/11/2018,11073.5,8559.7,11095.9,7843.7
02/18/2018,9704.3,11073.7,11791.5,9394.5
02/25/2018,11402.3,9703.1,11420.7,9330.1
03/04/2018,8762,11402.8,11506.9,8351
03/11/2018,7874.9,8732.2,9892.2,7691.7
03/18/2018,8547.4,7873.2,9173.4,7323.3
03/25/2018,6938.2,8549.1,8679,6603.8
04/01/2018,6905.7,6939.1,7519.3,6460.1
04/08/2018,8004.4,6905.9,8228,6633.2
04/15/2018,8923.1,8004.6,9027.7,7852.8
04/22/2018,9352.4,8923.6,9753.1,8669.8
04/29/2018,9853.5,9352.2,9992.8,8851
05/06/2018,8459.5,9859.4,9957.7,8184.1
05/13/2018,8245.1,8483.6,8758.4,8055.5
05/20/2018,7361.3,8243.9,8597.4,7293.4
05/27/2018,7646.6,7361.9,7694.5,7069.8
06/03/2018,7515.8,7646.6,7775,7391
06/10/2018,6505.8,7515.8,7516.3,6129.1
06/17/2018,6167.3,6505.8,6839.5,5955
06/24/2018,6398.9,6167.9,6498.5,5785.3
07/01/2018,6765.5,6398.5,6805.9,6398.5
07/08/2018,6254.8,6765.4,6793.8,6088.8
07/15/2018,7408.7,6254.8,7683.6,6238.5
07/22/2018,8234.1,7409,8484.6,7343.7
07/29/2018,7014.3,8231.5,8275.4,6949.7
08/05/2018,6231.6,7014,7149.7,6009.8
08/12/2018,6379.1,6232.1,6626.4,5898.3
08/19/2018,6734.8,6379.1,6840.8,6255.9
08/26/2018,7189.6,6734.9,7264.3,6573.1
09/02/2018,6184.3,7189.6,7409.9,6132.3
09/09/2018,6519,6184.3,6867.3,6148.8
09/16/2018,6729.6,6519,6833.3,6144.5
09/23/2018,6603.9,6729.6,6809.2,5977
09/30/2018,6596.3,6603.9,6682.3,6034.9
10/07/2018,6321.7,6596.3,6699.5,6206.2
10/14/2018,6572.2,6321.6,7358.4,6300
10/21/2018,6494.2,6575.9,6643.1,6473.7
10/28/2018,6386.2,6494.6,6502.2,6257.8
11/04/2018,6427.1,6386.2,6594.3,6359.7
11/11/2018,5621.8,6427.1,6475.9,5384.1
11/18/2018,3920.4,5621,5727.9,3821.5
11/25/2018,4196.2,3920.3,4440.1,3634.2
