date,price,Open,High,Low
03/13/2016,10.31,12.92,15.07,8.34
03/20/2016,11,10.55,12.47,9.56
03/27/2016,11.61,10.93,12.3,10.17
04/03/2016,9.15,11.61,11.76,9
04/10/2016,8.54,9.15,9.43,6.86
04/17/2016,8.46,8.7,10.9,7.73
04/24/2016,8.87,8.35,9.36,7.12
05/01/2016,9.35,8.74,10.3,8.35
05/08/2016,10.16,9.41,11.11,9
05/15/2016,14,10.25,14.89,9.93
05/22/2016,11.98,14.06,14.51,10.38
05/29/2016,13.81,11.8,14.3,11.78
06/05/2016,14.15,13.75,14.89,13.56
06/12/2016,11.41,14.3,21.69,10.13
06/19/2016,14.31,10.76,15.9,10.51
06/26/2016,12.14,14.22,14.4,11.51
07/03/2016,10.9,12.06,12.11,9.35
07/10/2016,11.72,10.83,12.55,10.2
07/17/2016,14.25,11.72,15.15,11.01
07/24/2016,12.52,14.33,14.44,11.78
07/31/2016,10.16,12.45,12.55,9.9
08/07/2016,11.48,10.16,12.33,10.16
08/14/2016,11.26,11.48,11.67,10.61
08/21/2016,11.2,11.26,11.42,10.9
08/28/2016,12.01,11.11,12.6,10.78
09/04/2016,12.13,11.88,12.18,11.26
09/11/2016,12.8,12.13,12.87,11.6
09/18/2016,12.86,12.73,15.4,12.26
09/25/2016,13.18,12.86,13.49,12.77
10/02/2016,12.26,13.18,13.5,12
10/09/2016,12.01,12.26,12.56,11.6
10/16/2016,12.29,12.01,12.91,11.81
10/23/2016,10.38,12.25,12.26,9.5
10/30/2016,11.17,10.38,11.53,10.31
11/06/2016,10.01,11.15,11.27,9.7
11/13/2016,9.73,10.01,10.5,9.46
11/20/2016,9.33,9.68,10.26,8.7
11/27/2016,7.91,9.33,9.33,7.1
12/04/2016,8.12,7.85,8.84,5.86
12/11/2016,7.73,8.14,8.63,7.47
12/18/2016,7.25,7.88,7.96,7.11
12/25/2016,8,7.25,8.6,7.05
01/01/2017,9.84,8.17,11.7,8.03
01/08/2017,9.67,9.8,10.84,9.08
01/15/2017,10.95,9.67,11.09,9.53
01/22/2017,10.51,10.91,10.98,10.34
01/29/2017,11.32,10.49,11.4,10.38
02/05/2017,11.33,11.32,11.6,10.41
02/12/2017,12.79,11.33,13.4,11.05
02/19/2017,13.55,12.79,13.8,12.25
02/26/2017,18.5,13.55,20.73,13.3
03/05/2017,21.3,18.5,21.45,16.25
03/12/2017,34.2,21.3,51.88,21.05
03/19/2017,50.75,34.2,58.99,34.1
03/26/2017,50.59,50.75,54.3,46.55
04/02/2017,44.51,50.59,51.59,41.05
04/09/2017,49.71,44.51,51.51,43.01
04/16/2017,52.15,49.71,53,45
04/23/2017,73.55,52.15,77.6,51.75
04/30/2017,96.65,73.55,101.7,66
05/07/2017,89.9,96.65,98,77.76
05/14/2017,123.03,89.9,129.25,83.77
05/21/2017,149.99,123.03,206.06,110.42
05/28/2017,217.01,149.99,230.55,149.66
06/04/2017,325.88,217.01,341.94,216.1
06/11/2017,364.56,325.88,412.21,265
06/18/2017,296.89,364.56,377.46,287.11
06/25/2017,255,296.89,318.27,204.11
07/02/2017,245.23,255,285.91,226.68
07/09/2017,170.15,245.23,249,169
07/16/2017,232.01,170.15,258,136.12
07/23/2017,206.76,232.01,236.57,176.95
07/30/2017,253.87,206.76,259.9,188.12
08/06/2017,307.22,253.87,319.78,251
08/13/2017,292.78,307.22,312,272.29
08/20/2017,332.72,292.78,346.99,285.01
08/27/2017,345,332.72,395.03,325.1
09/03/2017,303.08,345,368.4,267.64
09/10/2017,253,303.08,316.73,198
09/17/2017,285.9,253,299.89,239
09/24/2017,303.44,285.9,315.51,275.41
10/01/2017,311.46,303.44,315,285.12
10/08/2017,339.24,311.46,350,287.03
10/15/2017,299.23,339.24,355,287.46
10/22/2017,293.49,299.23,311.85,273.5
10/29/2017,299.48,293.49,314.4,275.21
11/05/2017,313.07,299.48,328.8,285.01
11/12/2017,346.68,313.07,350.4,293.33
11/19/2017,464,346.68,481.99,343.28
11/26/2017,455.51,464,517,385.4
12/03/2017,460.92,455.51,487.8,390
12/10/2017,683.25,460.92,760,413.3
12/17/2017,672.59,683.25,863,492.01
12/24/2017,682.22,672.59,766.06,560
12/31/2017,1004.3,682.22,1023.6,675.56
01/07/2018,1380,1004.3,1423.2,968.12
01/14/2018,1146,1379.9,1385,770.1
01/21/2018,1114.8,1146.3,1146.3,905.38
01/28/2018,971.49,1114.7,1264.8,766.82
02/04/2018,851.39,971.49,972.66,568.78
02/11/2018,971.54,851.44,972.86,778.9
02/18/2018,834.36,971.57,980.27,787.95
02/25/2018,855.91,834.1,894.78,818.46
03/04/2018,682.52,855.91,870.27,644.46
03/11/2018,550.27,682.77,739.25,544.51
03/18/2018,520.45,549.96,589.83,454.9
03/25/2018,393.96,520.44,535.11,366.12
04/01/2018,384.87,394.1,418.78,359.49
04/08/2018,502.52,384.85,528.71,384.85
04/15/2018,605.59,502.52,623.86,498.87
04/22/2018,683.49,605.58,711.74,591.78
04/29/2018,818.33,683.49,830.03,630.33
05/06/2018,683.94,818.75,838.26,635.23
05/13/2018,696.76,684.77,741.52,658.25
05/20/2018,586.76,696.73,722.92,547.39
05/27/2018,591.3,586.63,598.78,507.72
06/03/2018,593.8,591.33,627.51,577.53
06/10/2018,496.93,593.8,593.82,450.67
06/17/2018,474.14,496.95,547.5,450.72
06/24/2018,452.67,474.14,475.74,406.12
07/01/2018,485.4,452.72,486.18,442.29
07/08/2018,434.09,485.4,494.03,418.71
07/15/2018,461.52,434.09,515.2,432.59
07/22/2018,468.78,461.51,484.97,448.14
07/29/2018,407.09,468.89,471.78,398.1
08/05/2018,317.59,407.11,413.4,305.19
08/12/2018,293.89,317.63,327.51,250.84
08/19/2018,277.61,293.9,306.3,266.4
08/26/2018,295.31,277.61,301.92,269.75
09/02/2018,196.79,295.32,299.38,191.16
09/09/2018,221.94,196.69,259.37,169.08
09/16/2018,240.82,221.94,254.36,192.87
09/23/2018,231.87,240.82,249.02,204.84
09/30/2018,225.18,231.9,238.64,216.44
10/07/2018,201.22,225.19,232.66,188.65
10/14/2018,208.04,201.22,235.83,195.4
